normalized_model,model_family,accelerator_type,accuracy,baseline_accuracy,accuracy_drop,accuracy_drop_percent
mobilenetv2_selu_w1_0,MobileNetV2,Apple M4 ANE,62.68,62.73,0.04999999999999716,0.07970667941973084
mobilenetv2_relu6_w1_0,MobileNetV2,Apple M4 ANE,67.71,67.65,-0.05999999999998806,-0.08869179600885153
mobilenetv2_relu_w1_0,MobileNetV2,Apple M4 ANE,67.83,67.81,-0.01999999999999602,-0.029494174900451295
mobilenetv2_prelu_w1_0,MobileNetV2,Apple M4 ANE,68.67,68.62,-0.04999999999999716,-0.07286505392013576
mobilenetv2_mish_w1_0,MobileNetV2,Apple M4 ANE,69.8,69.86,0.060000000000002274,0.08588605782994886
mobilenetv2_leakyrelu_w1_0,MobileNetV2,Apple M4 ANE,68.38,68.34,-0.03999999999999204,-0.05853087503657015
mobilenetv2_hardswish_w1_0,MobileNetV2,Apple M4 ANE,69.09,69.05,-0.04000000000000625,-0.057929036929770104
mobilenetv2_gelu_w1_0,MobileNetV2,Apple M4 ANE,70.46,70.42,-0.03999999999999204,-0.05680204487360415
mobilenetv2_elu_w1_0,MobileNetV2,Apple M4 ANE,65.84,65.86,0.01999999999999602,0.030367446097777133
mobilenetv2_elu_w1_0,MobileNetV2,Mobilint-ARIES,63.4,65.86,2.460000000000001,3.7351958700273324
mobilenetv2_gelu_w1_0,MobileNetV2,Mobilint-ARIES,61.65,70.42,8.770000000000003,12.45384833854019
mobilenetv2_hardswish_w1_0,MobileNetV2,Mobilint-ARIES,63.2,69.05,5.849999999999994,8.472121650977545
mobilenetv2_leakyrelu_w1_0,MobileNetV2,Mobilint-ARIES,67.76,68.34,0.5799999999999983,0.8486976880304334
mobilenetv2_mish_w1_0,MobileNetV2,Mobilint-ARIES,68.0,69.86,1.8599999999999994,2.6624677927283127
mobilenetv2_prelu_w1_0,MobileNetV2,Mobilint-ARIES,67.16,68.62,1.460000000000008,2.1276595744680966
mobilenetv2_relu_w1_0,MobileNetV2,Mobilint-ARIES,67.16,67.81,0.6500000000000057,0.9585606842648661
mobilenetv2_relu6_w1_0,MobileNetV2,Mobilint-ARIES,66.94,67.65,0.710000000000008,1.0495195861049638
mobilenetv2_selu_w1_0,MobileNetV2,Mobilint-ARIES,36.52,62.73,26.209999999999994,41.78224135182528
mobilenetv2_silu_w1_0,MobileNetV2,Mobilint-ARIES,66.3,69.57,3.269999999999996,4.700301854247516
mobilenetv2_gelu_w1_0,MobileNetV2,DeepX M1,67.74,70.42,2.680000000000007,3.8057370065322447
mobilenetv2_hardswish_w1_0,MobileNetV2,DeepX M1,58.84,69.05,10.209999999999994,14.786386676321497
mobilenetv2_leakyrelu_w1_0,MobileNetV2,DeepX M1,64.6,68.34,3.740000000000009,5.472636815920411
mobilenetv2_mish_w1_0,MobileNetV2,DeepX M1,66.95,69.86,2.9099999999999966,4.165473804752358
mobilenetv2_prelu_w1_0,MobileNetV2,DeepX M1,0.39,68.62,68.23,99.43165257942292
mobilenetv2_relu6_w1_0,MobileNetV2,DeepX M1,67.41,67.65,0.2400000000000091,0.3547671840354901
mobilenetv2_relu_w1_0,MobileNetV2,DeepX M1,67.22,67.81,0.5900000000000034,0.8700781595634912
mobilenetv2_selu_w1_0,MobileNetV2,DeepX M1,62.61,62.73,0.11999999999999744,0.19129603060736083
mobilenetv2_silu_w1_0,MobileNetV2,DeepX M1,67.28,69.57,2.289999999999992,3.2916486991519225
mobilenetv2_elu_w1_0,MobileNetV2,Hailo-8,65.26,65.86,0.5999999999999943,0.9110233829334867
mobilenetv2_gelu_w1_0,MobileNetV2,Hailo-8,66.72,70.42,3.700000000000003,5.254189150809433
mobilenetv2_hardswish_w1_0,MobileNetV2,Hailo-8,55.53,69.05,13.519999999999996,19.580014482259227
mobilenetv2_leakyrelu_w1_0,MobileNetV2,Hailo-8,67.78,68.34,0.5600000000000023,0.8194322505121485
mobilenetv2_mish_w1_0,MobileNetV2,Hailo-8,65.97,69.86,3.8900000000000006,5.568279415974808
mobilenetv2_prelu_w1_0,MobileNetV2,Hailo-8,68.38,68.62,0.2400000000000091,0.34975225881668476
mobilenetv2_relu6_w1_0,MobileNetV2,Hailo-8,67.44,67.65,0.21000000000000796,0.3104212860310539
mobilenetv2_relu_w1_0,MobileNetV2,Hailo-8,67.7,67.81,0.10999999999999943,0.16221796195251353
mobilenetv2_silu_w1_0,MobileNetV2,Hailo-8,65.78,69.57,3.789999999999992,5.447750467155372
mobilenetv2_hardswish_w1_0,MobileNetV2,Qualcomm QCS6490,36.86,69.05,32.19,46.6183924692252
mobilenetv2_selu_w1_0,MobileNetV2,Qualcomm QCS6490,53.02,62.73,9.709999999999994,15.479037143312603
mobilenetv2_gelu_w1_0,MobileNetV2,Qualcomm QCS6490,55.19,70.42,15.230000000000004,21.62737858562909
mobilenetv2_prelu_w1_0,MobileNetV2,Qualcomm QCS6490,65.7,68.62,2.9200000000000017,4.255319148936172
mobilenetv2_mish_w1_0,MobileNetV2,Qualcomm QCS6490,61.16,69.86,8.700000000000003,12.453478385342116
mobilenetv2_silu_w1_0,MobileNetV2,Qualcomm QCS6490,47.86,69.57,21.709999999999994,31.205979588903254
mobilenetv2_relu_w1_0,MobileNetV2,Qualcomm QCS6490,67.01,67.81,0.7999999999999972,1.1797669960182822
mobilenetv2_relu6_w1_0,MobileNetV2,Qualcomm QCS6490,66.96,67.65,0.6900000000000119,1.0199556541020132
mobilenetv2_leakyrelu_w1_0,MobileNetV2,Qualcomm QCS6490,65.29,68.34,3.049999999999997,4.462979221539358
mobilenetv2_elu_w1_0,MobileNetV2,Qualcomm QCS6490,60.3,65.86,5.560000000000002,8.442150015183726
mobilenetv2_silu_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,69.57,69.57,0.0,0.0
mobilenetv2_selu_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,62.73,62.73,0.0,0.0
mobilenetv2_relu6_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,67.65,67.65,0.0,0.0
mobilenetv2_relu_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,67.81,67.81,0.0,0.0
mobilenetv2_prelu_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,68.62,68.62,0.0,0.0
mobilenetv2_mish_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,69.86,69.86,0.0,0.0
mobilenetv2_leakyrelu_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,68.34,68.34,0.0,0.0
mobilenetv2_hardswish_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,69.05,69.05,0.0,0.0
mobilenetv2_gelu_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,70.42,70.42,0.0,0.0
mobilenetv2_elu_w1_0,MobileNetV2,RTX PRO 6000 Max-Q,65.86,65.86,0.0,0.0
resnet18_silu_w1_0,ResNet-18,Apple M4 ANE,72.47,72.54,0.07000000000000739,0.09649848359526797
resnet18_selu_w1_0,ResNet-18,Apple M4 ANE,66.81,66.79,-0.01999999999999602,-0.029944602485396044
resnet18_relu6_w1_0,ResNet-18,Apple M4 ANE,71.22,71.24,0.01999999999999602,0.02807411566535096
resnet18_relu_w1_0,ResNet-18,Apple M4 ANE,71.04,71.03,-0.010000000000005116,-0.014078558355631586
resnet18_prelu_w1_0,ResNet-18,Apple M4 ANE,69.95,69.95,0.0,0.0
resnet18_mish_w1_0,ResNet-18,Apple M4 ANE,71.97,71.96,-0.010000000000005116,-0.013896609227355639
resnet18_leakyrelu_w1_0,ResNet-18,Apple M4 ANE,71.5,71.54,0.04000000000000625,0.05591277606934058
resnet18_hardswish_w1_0,ResNet-18,Apple M4 ANE,71.44,71.43,-0.009999999999990905,-0.013999720005587154
resnet18_gelu_w1_0,ResNet-18,Apple M4 ANE,72.23,72.21,-0.020000000000010232,-0.02769699487607012
resnet18_elu_w1_0,ResNet-18,Apple M4 ANE,68.66,68.68,0.020000000000010232,0.029120559114749894
resnet18_elu_w1_0,ResNet-18,Mobilint-ARIES,67.28,68.68,1.4000000000000057,2.038439138031458
resnet18_gelu_w1_0,ResNet-18,Mobilint-ARIES,71.48,72.21,0.7299999999999898,1.010940312976028
resnet18_hardswish_w1_0,ResNet-18,Mobilint-ARIES,70.79,71.43,0.6400000000000006,0.8959820803583936
resnet18_leakyrelu_w1_0,ResNet-18,Mobilint-ARIES,70.98,71.54,0.5600000000000023,0.7827788649706489
